City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,49.08,72,100,27.18,AU,1627597043
Geraldton,-28.7667,114.6,64.13,88,40,16.11,AU,1627597043
Saint Paul Harbor,57.79,-152.4072,56.71,67,90,6.91,US,1627597044
Yellowknife,62.456,-114.3525,70.32,49,40,12.66,CA,1627596926
Cidreira,-30.1811,-50.2056,47.21,65,6,9.82,BR,1627597044
Vaini,-21.2,-175.2,75.36,78,20,9.22,TO,1627597044
Lebu,-37.6167,-73.65,50.54,81,1,6.17,CL,1627597045
Hermanus,-34.4187,19.2345,54.9,83,12,6.13,ZA,1627597045
Ribeira Grande,38.5167,-28.7,71.01,86,5,11.03,PT,1627597045
Kimbe,-5.5502,150.1429,78.96,84,27,2.86,PG,1627597045
Plettenberg Bay,-34.0527,23.3716,53.98,77,19,3.94,ZA,1627597046
Saiha,22.4833,92.9667,71.11,99,97,2.42,IN,1627597046
Mataura,-46.1927,168.8643,43.48,84,97,3.71,NZ,1627597046
Longyearbyen,78.2186,15.6401,44.44,70,75,6.91,SJ,1627597046
Albany,42.6001,-73.9662,70.66,90,100,5.61,US,1627596901
Fortuna Foothills,32.6578,-114.4119,110.68,20,1,12.66,US,1627597047
Itaueira,-7.6033,-43.0256,85.23,30,13,2.93,BR,1627597047
Port Elizabeth,-33.918,25.5701,53.89,87,0,5.75,ZA,1627597047
Cape Town,-33.9258,18.4232,55.11,90,20,1.01,ZA,1627596940
Rikitea,-23.1203,-134.9692,71.85,77,35,7.94,PF,1627597048
Ambon City,-3.6954,128.1814,73.54,94,40,3.44,ID,1627597048
Bethel,41.3712,-73.414,73.04,91,90,1.01,US,1627597048
Husavik,66.0449,-17.3389,51.71,94,94,3.38,IS,1627597049
Saint-François,46.4154,3.9054,65.17,84,0,0.0,FR,1627597049
Teknāf,20.8624,92.3058,80.15,91,100,11.45,BD,1627597049
Panguipulli,-39.6333,-72.3333,46.11,93,0,0.81,CL,1627597050
Ushuaia,-54.8,-68.3,44.26,42,20,19.57,AR,1627597047
Lata,40.1629,-8.3327,62.04,97,0,2.46,PT,1627597050
